,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cotham,0.019802285788910013,0.02018740501474614,0.06481848203949224,0.06357658003282851,0.041138729824675375,0.0484148412866389,0.05630239351961547,0.0642504460417137,0.06856193229610402,0.08566435486726684,0.09281610426653075,0.09305058124101831,0.0908879398343071,0.09585213199632295,0.08592920698894321
Clifton Down,0.13282013978733948,0.07179655884701595,0.06287308181254,0.042999523550293434,0.06033036341712093,0.08809637399891627,0.08606895691142576,0.04638767185641173,0.05081269004923924,0.04978798704679115,0.05384966960725494,0.022971252042601267,0.020027429089993148,0.02203879904802966,0.027704904096228496
Brislington West,0.06214918601460254,0.03254170113637755,0.034140322166822605,0.017533409467530032,0.017794053348364886,0.02047844493791083,0.020781825838575248,0.020143950574173633,0.018289645795168244,0.019431451679011894,0.01939021782977988,0.018391752592938626,0.019206895716191035,0.018700457372915334,0.01809095053874904
Eastville,0.048536100672840005,0.010168523080231934,0.008350307370510556,0.009480879680690606,0.010961995783561313,0.007008864165983228,0.007954397246009909,0.007015214403195018,0.007395884967861148,0.004690918306641607,0.009167457737165685,0.010094592673855778,0.009918496585042832,0.011296882814361357,0.011569971268482013
Central,0.07780927617556953,0.0796768408080539,0.09009318452625491,0.07869347012588326,0.07434370200526312,0.06792078697881229,0.062331038255003066,0.06874735502637708,0.06189034547076954,0.05852055347138998,0.065547656541047,0.09515688068726681,0.09529537189690537,0.13654217091403476,0.11417093897174682
Hartcliffe and Withywood,0.013038681843542673,0.009918505648035352,0.008628654954277564,0.010060166035555628,0.009380656384297697,0.01256522357096848,0.008246285609738994,0.01014590938760963,0.008212739567724756,0.010756446794632888,0.009619080002800963,0.007256970805387605,0.007224622044449779,0.01487195269838174,0.009220928187642776
Lockleaze,0.006444808532639942,0.0058350270471295975,0.0059742125654355755,0.009204312255268556,0.00929397773881544,0.010551024198610566,0.00916685667616482,0.007952878556262269,0.011876797858708063,0.012804550207145429,0.01773904292682225,0.016029667928444027,0.01627618899003787,0.01562898278033093,0.014855835669709256
Hillfields,0.004205557091300092,0.0031684648275356175,0.003127757650394322,0.002679783258873074,0.0020150855256254453,0.0019341801865533565,0.002345471637648894,0.003532258085039282,0.004072921105087496,0.0036892360914877157,0.004253670734213886,0.005650965270544712,0.005922665381194143,0.0037659711076545844,0.004584324833112312
Henbury and Brentry,0.010119058239449145,0.006597424833112554,0.005856355102581516,0.0067625073531683505,0.009039396915120132,0.01036775766900097,0.011694950585287826,0.0105727921682343,0.010266034165856325,0.013497225225985081,0.012399437394262806,0.011255996505995115,0.009889534833951443,0.0167630635489796,0.021370566186077564
Redland,0.1103953781122116,0.07411432005822514,0.07739996927408113,0.06583715449752349,0.050045280424101106,0.028237570326051505,0.05033872806003751,0.03263859782896653,0.03044871805775967,0.027033172907085505,0.027612171728451054,0.020898871117302483,0.022345817556964635,0.024198643258400817,0.02101736265800929
Horfield,0.012617588669433018,0.010612030870263385,0.010278013989160254,0.009765946931468919,0.011948936815415107,0.01035802498144514,0.01351455520045139,0.014350406683674774,0.01697540282265171,0.016095828885088752,0.016749886509853817,0.02494320452186494,0.020986026745188756,0.020454313525141255,0.019686884674651153
Knowle,0.030727951248438943,0.02686431856870822,0.03764133922995979,0.021764729401563616,0.026143296157416993,0.02461739958546143,0.020070256011883406,0.025517613717598198,0.020729746151017057,0.020287156608910645,0.019249566250777683,0.019012820278352518,0.020892593545747674,0.019972162516720467,0.02090168839331122
Lawrence Hill,0.026186274024837232,0.018887144728070727,0.02242022457702353,0.02370267343471462,0.01908545440101954,0.020406885000908277,0.018369748533971796,0.01987167300661588,0.015820146123204985,0.017118371743704477,0.017852193521488143,0.020053067940108523,0.019736152518727033,0.018934743781988617,0.017933215871100798
Hengrove and Whitchurch Park,0.01535298402857168,0.004903452340951763,0.005104239746793515,0.006437802419151532,0.0062535873301501725,0.006165883234827059,0.004504919452553441,0.003773821561480888,0.005426099110564229,0.0050373223383512866,0.005819893468596109,0.005619339747643939,0.007194698959224788,0.006460835639349497,0.007053561079966472
Hotwells and Harbourside,0.05517244682638861,0.0881734534574491,0.0649104791232758,0.06094458037085469,0.051626099643778574,0.05349242277589468,0.05203526925971535,0.06967720404982208,0.06118617988281999,0.06395779301467969,0.18476575839342776,0.148073799311024,0.17136920402165534,0.2087324224059129,0.2009383895133145
