,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cotham,0.8778205042955359,0.877464909079255,0.6389715729752505,0.72950897756022,0.698248690855712,0.7009684523602908,0.6493411060830286,0.6042214455443984,0.5824869682110025,0.4789988913747023,0.40906598900476554,0.434145386326261,0.4478288875952783,0.4349883031169298,0.5013455096652224
Clifton Down,0.4729228073299089,0.5607976074549952,0.6267994556579273,0.747684967162492,0.5954041093355327,0.4547870280958346,0.4580285128724819,0.7278814581741774,0.6853548640266847,0.7590228533929272,0.740470023829694,0.8643654516094513,0.8793775477897796,0.8698240742104912,0.8345484523455583
Brislington West,0.7544507433429004,0.8720751120408728,0.8768978378969595,0.9295210720227555,0.926871931680612,0.912393042959193,0.9140380262857284,0.9128021990029679,0.9245990475555561,0.9190260122338159,0.9203790969036245,0.9226870848522026,0.9224926315199322,0.9240109919329614,0.9244282861025718
Eastville,0.9091568107483634,0.968219858278214,0.9736705737104656,0.9702221534598909,0.9656938297969574,0.9767026837702019,0.9749266990832486,0.974701153305116,0.9760502464113876,0.9845796004201478,0.9713532109145593,0.9656085910883666,0.9682028794299702,0.9536421345121107,0.9704989267656119
Central,0.5609211953955306,0.5467620172776761,0.49412909589413,0.5594140803482842,0.5815562890237695,0.6021638605509394,0.6369210504311598,0.6130189796165411,0.689486475474953,0.6562476948837177,0.6965168325163129,0.5077879767366844,0.45240250075251176,0.20853563407240983,0.3725282438838373
Hartcliffe and Withywood,0.9533750233875271,0.9685329796296334,0.9699338320787069,0.9640975745124623,0.968088590256702,0.9552381226043273,0.9646400845885102,0.9631403181762135,0.967130068083531,0.9617946279120897,0.9640271439537383,0.9693895784146453,0.9747402670549968,0.946663868547844,0.9618497781724088
Lockleaze,0.9756045416142467,0.9775114107777969,0.9799572815328998,0.9623555106130711,0.9662042079469263,0.9647931444081591,0.9639775729302573,0.9652322984601267,0.9510683868776362,0.9477654133829135,0.9321995818839441,0.9329093844904077,0.9385856481578063,0.9443247326440573,0.9429062608660645
Hillfields,0.983361482807438,0.9874945725303722,0.9873874500837264,0.9892852721285333,0.9911549115159,0.9917708274423299,0.99151167589755,0.9862500353773478,0.9825756469148896,0.9844176218823708,0.9830696041301396,0.9805720539754844,0.977755532165567,0.985453006025648,0.9826543377371494
Henbury and Brentry,0.9515778451289106,0.9707890574610077,0.9745866233728088,0.9690604155423748,0.9551054580836247,0.9545969471803877,0.9480845139168153,0.9525660598201009,0.9569360974749223,0.9686643796574068,0.9546264723212601,0.9524438221552585,0.9603314006746344,0.9318806063203103,0.9136602871113483
Redland,0.3544400836743876,0.5677183859869283,0.6441847265982346,0.7095668353911418,0.7141795495360922,0.8672772530510405,0.8160419997406132,0.8267118420928925,0.8462105554768051,0.8647405216845869,0.8748093863337579,0.8991296719487002,0.8945316775340586,0.881144399785081,0.8958235818366843
Horfield,0.9508981607010866,0.957075991610952,0.9605976079912696,0.9629652544946352,0.9564609924566878,0.9529582820145909,0.9549916932298679,0.9421557127265276,0.9384618302582656,0.9317881447861274,0.9346926679868099,0.9147383656201852,0.9116869019429772,0.9189549927948147,0.9187178427735339
Knowle,0.8720019225324415,0.8637120387716222,0.8549180631773998,0.8982462373312579,0.8889208781117844,0.8929091041525147,0.8971691104051203,0.8965387598763065,0.9154919796508691,0.913587857232731,0.9199174726742221,0.9166298262099288,0.9095196542705654,0.9170299989779179,0.9077058645533616
