Ward name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
Central,30,41,44,55,50,35,22,4,1,1,2,2,2,4,31,43,51,52,26,17,8,40,64,123,194,203,215,194,144,118,96,131,133,145,134,101,136,141,153,114,73,54,38,39,57,50,80,98,69,64,50,37,38,54,102,109,156,140,88,77,29,34,29,45,93,103,113,112,112,124,117,103,54,26,27,40,55,67,69,56,76,113,167,173,142,100,114,148,334,377,306,312,142,117,128,98,83,63,41,19,51,81,128,145,110,75,29,11,4,1
Hartcliffe and Withywood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,8,6,25,32,35,41,24,15,11,6,4,6,4,4,4,2,2,2,2,1,1,0,1,4,5,5,5,3,2,4,4,4,6,4,5,4,3,3,2,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,0,0,0,0,0,0,0
Lockleaze,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,3,2,2,3,3,3,3,1,0,7,8,8,10,10,16,27,30,27,21,17,17,25,41,45,50,59,55,70,68,56,49,32,30,26,24,18,19,25,26,49,56,74,90,78,72,59,67,67,59,43,15,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillfields,2,2,1,2,1,1,2,1,5,5,6,6,2,2,0,1,1,1,1,0,0,2,5,5,5,4,1,1,1,1,8,17,26,49,51,50,48,27,20,15,18,18,44,48,42,47,21,14,10,2,1,2,9,12,13,13,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,5,7,7,11,11,11,13,11,11,10,9,4,3,2,2,4,3,5,6,11,11,9,7
Henbury and Brentry,2,1,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,0,2,2,5,11,11,49,71,83,95,85,66,57,51,38,37,38,36,31,35,30,28,24,22,21,31,29,23,20,10,10,14,14,19,45,52,58,64,37,29,29,20,20,28,29,25,22,10,5,4,4,4,1,0,0,0,1,4,8,28,36,37,48,45,38,35,21,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redland,5,6,8,6,6,3,0,1,1,2,3,2,7,9,9,9,5,2,2,3,2,2,7,10,16,19,17,17,14,11,8,5,3,4,13,29,39,82,96,92,89,54,45,38,49,41,30,28,10,10,20,16,16,16,2,3,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,8,9,9,10,5,2,1,0,0,0,1,1,1,1,0,0,0,0,0,8,8,8,8,0,0,0,0,8,10,15,21,13,12,7,1
Horfield,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4,13,18,23,28,30,25,21,14,4,6,5,3,2,2,31,49,89,112,129,131,117,107,111,110,104,95,59,43,32,30,17,18,9,5,6,2,3,3,1,5,5,25,29,26,27,9,25,30,39,51,46,50,58,53,41,40,21,13,14,9,9,8,4,0,0,0,0,0,10,11,17,22,12,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knowle,4,3,3,4,3,3,3,2,0,1,1,1,1,0,0,2,2,2,2,0,0,2,2,3,5,4,4,3,1,0,0,0,3,4,4,5,2,1,1,0,0,5,5,6,6,2,3,3,6,5,5,8,8,8,7,3,0,2,3,4,4,2,1,0,0,0,0,1,3,8,19,19,17,12,2,1,1,1,0,0,0,0,0,0,0,0,0,9,29,29,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence Hill,9,8,2,2,3,2,2,4,3,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,3,3,4,3,2,3,1,10,36,45,47,40,33,58,64,89,99,87,90,70,46,28,18,19,84,114,171,203,175,201,185,151,136,82,43,41,22,28,40,46,49,48,47,49,57,71,75,77,85,74,71,73,62,61,49,35,19,10,8,7,27,30,43,44,24,33,20,18,18,14,15,17,17,4,2,4,10,10,10,6,0,0,0,0
Hengrove and Whitchurch Park,5,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,31,37,35,23,9,3,1,1,11,25,26,26,17,3,2,1,0,1,3,4,5,8,8,18,21,17,19,20,31,34,36,27,18,17,12,10,4,2,1,0,1,2,2,2,1,0,2,6,9,12,20,17,14,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,12,4,3,13,21,35,77,98,95,91,46,15,10
